1,1,1,1,1,1,1,1,
0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,
-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,
-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,
-1,-1,-1,-1,-1,-1,-1,-1,
-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,
1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,
0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,
1,1,1,1,1,1,1,1,
0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,
-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,-4.37114e-08,
-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,
-1,-1,-1,-1,-1,-1,-1,-1,
-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,-0.707107,
1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,1.19249e-08,
0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,0.707107,

